Institution Name_x,State Abbreviation,MSI Status,MSI Type,Average Work Study Award,Student Family Earnings Ceiling,Affordability Gap (net price minus income earned working 10 hrs at min wage),100% TTD Affordability Gap,Student Parent Affordability Gap: Center-Based Care,100% TTD Student Parent Affordability Gap: Center-Based Care,State,Latitude,Longitude,Admissions Website,Percent of Undergraduates Age 25 to 64,Percent of American Indian or Alaska Native Undergraduates,Percent of Asian Undergraduates,Percent of Black or African American Undergraduates,Percent of Latino Undergraduates,Percent of Native Hawaiian or Other Pacific Islander Undergraduates,Percent of White Undergraduates,Percent of Women Undergraduates,Percent of Men Undergraduates,"Percent of Bachelor Degrees Awarded in Science, Technology, Engineering, and Math",Percent of Bachelor Degrees Awarded in Arts and Humanities,Percent of Bachelor Degrees Awarded in Education,Percent of Bachelor Degrees Awarded in Social Sciences,Percent of Bachelor Degrees Awarded in Health Sciences,Percent of Bachelor Degrees Awarded in Business,Average Cost of Attendance In-State,Average Cost of Attendance Out-of-State,"Average Net Price for Low-Income Students, 2020-21",Median Debt for Dependent Students,Median Debt for Independent Students,Median Earnings of Dependent Students Working and Not Enrolled 10 Years After Entry,Median Earnings of Independent Students Working and Not Enrolled 10 Years After Entry,Median Earnings of Students Working and Not Enrolled 10 Years After Entry
University of Minnesota-Crookston,MN,1.0,Not MSI,2355.0,75000.0,3322.0,13288.0,23247.14,92988.56,Minnesota,47.8,-96.61,https://crk.umn.edu/units/admissions,33.0,1.0,3.0,3.0,4.0,0.0,76.0,58.0,42.0,0.026316,0.0,0.052632,0.0,0.12201,0.437799,22170.66667,22170.66667,5174.0,12000.0,14513.0,45889.0,55610.0,47921.5
University of Charleston,WV,1.0,Not MSI,1902.0,75000.0,16483.0,65932.0,32552.49,130209.96,West Virginia,38.33,-81.62,www.ucwv.edu/Admissions/,51.0,2.0,2.0,10.0,6.0,0.0,59.0,41.0,59.0,0.047538,0.013582,0.013582,0.020374,0.117148,0.651952,42900.0,42900.0,19632.0,12000.0,10000.0,49102.0,35272.0,47921.5
Bluefield State University,WV,0.0,HBCU,1902.0,75000.0,7122.0,28488.0,23191.49,92765.96,West Virginia,37.27,-81.24,https://bluefieldstate.edu/admissions,23.0,0.0,1.0,14.0,2.0,0.0,78.0,60.0,40.0,0.196078,0.156863,0.176471,0.03268,0.222222,0.091503,19837.66667,27035.66667,9019.0,9712.0,16650.0,38017.0,33293.0,47921.5
Minneapolis College of Art and Design,MN,1.0,Not MSI,2355.0,75000.0,17650.0,70600.0,37575.14,150300.56,Minnesota,44.96,-93.27,https://mcad.edu/admissions-aid,6.0,2.0,8.0,6.0,10.0,0.0,64.0,68.0,32.0,0.0,0.0,0.0,0.0,0.0,0.047297,52908.66667,52908.66667,23033.0,16750.0,19875.0,40557.0,44198.0,47921.5
University of Washington-Seattle Campus,WA,0.0,AANAPII,3138.0,75000.0,2942.0,11768.0,23493.35,93973.4,Washington,47.66,-122.31,https://admit.washington.edu/,6.0,0.0,24.0,3.0,8.0,0.0,32.0,57.0,43.0,0.112224,0.001193,0.031127,0.121407,0.067859,0.076804,25755.0,53585.0,4516.0,12000.0,14678.0,69052.0,68509.0,47921.5
Minnesota State University Moorhead,MN,1.0,Not MSI,2355.0,75000.0,9504.0,38016.0,29429.14,117716.56,Minnesota,46.87,-96.76,https://www.mnstate.edu/Admissions/,18.0,1.0,2.0,5.0,4.0,0.0,80.0,62.0,38.0,0.053678,0.0,0.172962,0.031809,0.109344,0.200795,20607.33333,28703.33333,13093.0,15000.0,16500.0,47105.0,47175.0,47921.5
University of Minnesota-Morris,MN,0.0,NANTI,2355.0,75000.0,927.0,3708.0,20852.14,83408.56,Minnesota,45.59,-95.9,https://morris.umn.edu/admissions-aid,4.0,10.0,2.0,3.0,6.0,0.0,56.0,57.0,43.0,0.17004,0.004049,0.064777,0.089069,0.0,0.105263,22540.66667,24632.66667,2553.0,12000.0,9005.0,47549.0,44791.0,47921.5
University of Minnesota-Duluth,MN,1.0,Not MSI,2355.0,75000.0,6579.0,26316.0,26504.14,106016.56,Minnesota,46.82,-92.08,https://admissions.d.umn.edu/undergraduate-admissions,3.0,1.0,3.0,2.0,3.0,0.0,75.0,50.0,50.0,0.137255,0.0,0.064562,0.057867,0.037781,0.181253,23262.0,28560.0,6283.0,15784.0,18750.0,54968.0,51525.0,47921.5
Concord University,WV,1.0,Not MSI,1902.0,75000.0,6254.0,25016.0,22323.49,89293.96,West Virginia,37.42,-81.01,https://www.concord.edu/admissions,11.0,0.0,1.0,9.0,1.0,0.0,78.0,58.0,42.0,0.083832,0.173653,0.10479,0.107784,0.023952,0.194611,19030.0,28780.0,6959.0,10330.0,14346.0,38404.0,36067.0,47921.5
Western Washington University,WA,1.0,Not MSI,3138.0,75000.0,11302.0,45208.0,31853.35,127413.4,Washington,48.74,-122.49,admissions.wwu.edu/,8.0,0.0,6.0,2.0,11.0,0.0,68.0,57.0,43.0,0.05725,0.001438,0.052934,0.109033,0.046893,0.132624,22176.0,39403.0,3885.0,13767.0,17049.0,55490.0,52762.0,47921.5
